"Município"	"População"	"IDHM...Educação"	"Escolaridade.Adulta"	"Frenquencia.Escolar"	"Alfabetização"	"Renda.per.Capita"	"Despesa.Educação"	"Matrículas"	"Docentes"	"IPDM...Educação"	"PIB"	"IDEB_Médio"	"Grau.Urbanização"
"1"	"Abatiá"	"7.727"	"0,596"	"0,38"	"0,74"	"83,24"	"535,86"	"2.196.022,16"	"1.852"	"100"	"0,5632"	"80.853,972"	4.3	NA
"2"	"Adrianópolis"	"6.328"	"0,563"	"0,37"	"0,69"	"83,18"	"440,79"	"3.096.098,36"	"1.840"	"109"	"0,4147"	"68.096,336"	4.5	"32,31"
"3"	"Agudos do Sul"	"8.351"	"0,543"	"0,37"	"0,65"	"91,16"	"519,63"	"2.652.145,16"	"2.163"	"86"	"0,3198"	"87.126,273"	4.15	"34,12"
"4"	"Almirante Tamandaré"	"104.350"	"0,575"	"0,49"	"0,61"	"93,94"	"646,02"	"24.008.418,37"	"22.617"	"823"	"0,2931"	"706.900,907"	3.8	"95,82"
"5"	"Altamira do Paraná"	"4.100"	"0,571"	"0,35"	"0,72"	"82,43"	"506,31"	"1.602.399,33"	"1.214"	"52"	"0,5752"	"37.391,456"	4.25	"49,58"
"6"	"Alto Paraíso"	"3.162"	"0,556"	"0,35"	"0,69"	"85,34"	"540,24"	"2.149.871,21"	"951"	"55"	"0,5626"	"36.765,453"	4.2	"55,27"
"7"	"Alto Paraná"	"13.736"	"0,587"	"0,37"	"0,73"	"89,62"	"548,25"	"7.251.791,55"	"3.092"	"129"	"0,7169"	"138.442,759"	4.95	"82,13"
"8"	"Alto Piquiri"	"10.135"	"0,578"	"0,37"	"0,71"	"86,14"	"515,07"	"3.877.469,01"	"2.909"	"116"	"0,6859"	"117.323,956"	4.2	"82,29"
"9"	"Altônia"	"20.615"	"0,641"	"0,42"	"0,78"	"89,82"	"585,49"	"6.535.898,51"	"4.955"	"204"	"0,8617"	"157.302,016"	5	"73,57"
"10"	"Alvorada do Sul"	"10.363"	"0,617"	"0,44"	"0,72"	"89,79"	"605,41"	"3.064.703,66"	"2.098"	"117"	"0,5945"	"114.654,969"	4.25	"71,36"
"11"	"Amaporã"	"5.504"	"0,591"	"0,43"	"0,68"	"86,99"	"441,01"	"2.106.002,82"	"1.421"	"54"	"0,4870"	"47.639,512"	4.05	"79,55"
"12"	"Ampére"	"17.438"	"0,620"	"0,47"	"0,70"	"92,50"	"618,76"	"5.665.619,90"	"4.445"	"229"	"0,7074"	"265.680,297"	5	"76,59"
"13"	"Anahy"	"2.864"	"0,593"	"0,40"	"0,71"	"88,18"	"520,88"	"1.550.046,50"	"705"	"49"	"0,7415"	"37.129,206"	4.5	"73,35"
"14"	"Andirá"	"20.530"	"0,660"	"0,48"	"0,76"	"89,89"	"587,51"	"6.852.432,27"	"5.311"	"231"	"0,6728"	"382.725,210"	4.8	"93,89"
"15"	"Ângulo"	"2.861"	"0,644"	"0,44"	"0,77"	"88,71"	"641,37"	"1.313.604,27"	"657"	"52"	"0,7840"	"40.541,825"	4.25	"78,80"
"16"	"Antonina"	"18.870"	"0,564"	"0,44"	"0,63"	"91,38"	"572,38"	"6.556.593,65"	"5.117"	"244"	"0,3810"	"280.687,147"	3.65	"85,03"
"17"	"Antônio Olinto"	"7.347"	"0,547"	"0,28"	"0,76"	"93,17"	"393,68"	"2.839.494,90"	"1.713"	"78"	"0,6872"	"111.407,417"	5.1	"9,35"
"18"	"Apucarana"	"121.924"	"0,668"	"0,54"	"0,73"	"94,10"	"804,81"	"34.229.577,71"	"30.460"	"1.417"	"0,7650"	"1.749.964,485"	5.1	"94,36"
"19"	"Arapongas"	"105.588"	"0,669"	"0,56"	"0,72"	"95,00"	"855,02"	"25.861.199,19"	"22.868"	"1.081"	"0,7631"	"2.621.393,437"	5.2	"97,79"
